ko,vy,rr,4
fe,xl, k,10
qk,bb,hq,10
oe,nl,c ,4
ro,ej,ez,6
n ,qu,ih,10
ak,jg,cp,1
ix,gi,jz,3
rp,xy,yx,3
fe,qc,yb,4
rg,pn,xo,10
af,wy,ys,4
fj,yf,vj,6
mn,qr,kt,3
nu,pj,ph,1
oo,tl,ij,6
pm,yp,dn,3
tj,zc,na,8
hl,hf,lh,1
nc,vy,du,8
cu,jf,qt,7
bt,qq,yn,6
hm,tb,jn,1
ss,df,ji,4
an,xz,iq,3
dw,fb,lq,10
qp,wa,la,7
kw,cp,zl,8
lv,qr,ql,6
na,_x,aj,10
ci,eo,zd,3
rh,lo,jq,4
he,az,ga,3
fl,ku,kh,3
bt,ds,ha,8
as,aj,yr,4
ld,et,mc,4
av,ht,qr,8
fu,py,zy,6
bq,by,ju,1
jy,do,a ,10
i ,rh,wd,1
_o,ds,qc,6
fd,gb,cv,1
ul,zc,vz,1
bc,vu,ax,4
kt,zy,ru,7
ve,_l,fz,4
nt,v ,zq,6
wf,ow,hs,7
uj,xu,xd,4
aw,ya,wl,10
as,ts,uq,7
ah,go,sc,6
yl,ni,af,1
fz,zz,m ,4
wk,fr,jk,10
kp,ca,qm,7
jv,ir, c,1
ek,sw,zg,6
rz,ax,so,10
ev,vo,zf,10
wt,ze,kj,4
up,mk,uj,10
va,jz,hr,6
yk,bi,on,6
dd,vt,ly,10
uf,c ,rp,4
za,dj,jd,3
tm,jt,pl,10
_t,eb,dd,6
cg,di,p ,1
lc,rm,jx,10
fj,vf,ss,1
pl,ud,ul,3
rn,_f,fn,1
bn,or,bz,8
ud,tq,el,6
rn,_d,al,4
kn,pg,jb,4
yq,kd,eh,7
es,rk,cm,7
xv,fr,sb,7
xo,s ,tm,6
vc,_g,ra,8
gh,zv,qo,7
pr,ul,dp,7
sa,tw,iw,7
xr,xf,ab,7
id,mv,s ,6
ja,hd,yl,7
kr,mh,ov,6
lf,bw,xe,3
ku,fj,dg,8
zo,me,ki,10
ib,lc,jg,1
qg,uj,cw,4
he,dr,lm,4
lw,xk,xm,8
ym,wu,fa,3
ep,_i,om,4
nl,hg,mc,6
fn,yh,wg,8
bi,nl,he,6
aq,yf,j ,4
de,np,wu,7
zv,md,ez,3
bp,qm,zv,6
yy,hq,oi,4
iw,us,on,8
c ,kb,i ,6
gu,hf, v,6
sz,se,va,10
rp,_l, z,7
ap,ux, p,8
ye,kf,id,10
qq,_e,xz,7
tm,nd,nj,10
jp,yu, y,7
mv,qe,bc,1
xi,vm,df,4
dk,el,hk,4
sb,zt,my,10
yi,cz,ey,10
ak,qy,cy,6
kg,cs,jz,10
_c,oa,mo,10
bs,pp,ih,6
lp,he,je,7
fg,ak,lf,8
c ,yg,ak,1
xt,jy,ir,3
xm,qt,qt,7
su,bh,rl,8
vj,pq,pj,6
ts,ju,th,3
ir,sf,ov,10
_l,uf,we,6
mm,zs,sp,6
my,nl,km,7
sy,_s,no,1
ib,hl,dm,3
js,yf,u ,3
fb,cs,qd,10
uo,zz,gj,6
jl,to,rh,8
km,tx,qa,8
jc,ng,vy,1
of,nl,tf,1
me,sj,g ,7
_f,gi,hz,1
bx,kz,hd,4
af,rx,xg,4
ia,qn,uo,6
ou,ly,lp,7
tl,ie,xi,10
yo,bb,gz,3
iu,nd,tn,8
xh,db,xz,6
hj,gk,zz,8
qn,rb,jm,7
na,an,qx,4
qp,li,bh,7
rb,yf, g,7
no,jo,nq,3
_w,vu,lk,7
xa,kb,er,8
ay,yp,zm,7
oh,j ,yd,6
by,rh,zt,10
oj,zn,tf,7
pi,lv,mz,6
_r,yd,bs,8
kl,sj,ak,3
pm,pc,vy,4
do,km,mq,4
jk,q ,jr,4
ez,ui,qk,1
gw,bl,mw,3
c ,xp,jn,4
rp,uh,zl,4
_w,jz,fz,10
pn,pu,eh,7
sd,sc,av,1
xi,ub,vl,7
fg,tr,mt,10
hk,yr,j ,3
zn,mx,xq,4
_m,dq,gc,3
y ,qa,oz,1
qj,dk,ae,8
di,fe,hk,3
vr,vz,ig,6
jx,sa,vu,6
we,kh,ge,6
pk,qc,we,3
qz,ot,rl,3
ei,pz,ij,3
ve,xe,kw,10
na,mf,mv,8
zc,tg,ke,10
jh,es,ec,10
er,wj,jw,8
qm,ok,xe,4
mj,yt,sd,10
fn,fw, c,8
xm,mo,mr,3
cl,ns,aw,10
em,el,ud,6
nl,dg,wm,10
op,ax,qi,10
h ,_ ,rm,1
ae,vh,pz,3
ez,ft,em,4
xp,mt,rq,6
js,wc, q,4
ts,tk,sp,4
nn,vt,oo,3
xj,mj,qg,6
ia,ww, l,1
zj,ze,vw,4
qh,_b,rs,4
_a,vj,gk,4
uy,gc,qw,7
zh,pr,dp,8
gw,se,ny,3
rw,pv,w ,10
zw,sz,  ,8
rw,_g,qu,3
yi,ka,cb,10
uo,ql,fl,8
ve,qy,rw,8
ae,uv,vc,7
dl,rp,hu,7
kn,em,lx,3
_ ,qc,rt,6
hd,cc,wl,10
a ,kh,mi,8
vi,re,eu,6
iz,hc,rm,4
gm,lu,ph,1
xr,dt,xy,1
mu,ac,fa,4
ab,ln, k,10
ad,wv,kb,1
qt,bk,rm,1
bn,ru,ux,10
fx,bn,ig,6
re,so,jg,1
sr,kp,bv,1
ve,jb, n,8
ew,ih,s ,10
ay,zj,bj,4
sw,um,vx,4
_q,vl, u,3
cd,dm,pw,7
lw,ff,hs,4
dw,wf,wt,10
qb,er,pg,3
_m,a ,zb,1
zk,an,wx,6
gu,cm,sv,10
gs,ik,ws,4
zl,rm,yv,3
nc,_x,ok,4
_f,aq,um,3
mc,mi,zr,1
dk,fa,cw,6
wu,vy,jc,3
ia,mh,pc,7
eh,tl,bx,6
uh,vp,kq,1
ek,ct,jz,8
tb,fw,uu,6
dw,zy,vt,4
_p,ge,ej,1
ql,ws,m ,1
js,fo,xh,6
ld,qy,jl,1
fy,dt,zd,8
he,vh,mh,4
rx,hl,vp,10
wc,fw,io,6
jw,ar,ho,4
jd,t ,jh,3
qm,re,ik,8
g ,mj,bv,7
jv,eo,ch,3
ut,it,vr,8
px,mg,hg,6
u ,dm,bo,8
lo,np,hj,3
ri,ef,kt,4
ej,pk,ii,8
xr,it,mk,6
cm,dr,ri,4
sn,py,ua,10
_j,ng,fs,4
gp,ro,ij,8
fv,qs,pc,8
wf,jz,tx,6
tw,mv,iy,10
vc,vm,lm,8
mo,hc,mp,7
rg,kb,hk,10
lp,fu,hn,6
jd,dm,xj,10
_c,pz,ju,3
ej,nd,jp,8
ew,xs,ot,6
il,dk,d ,6
hy,wy,uf,8
zr,hm,cu,1
ux,at,ud,10
bv,fx,rw,4
yy,ol,kh,6
jq,hm,sd,7
ay,vj,ym,3
aw,my,ev,3
mg,zk,mg,10
yz,_d,oy,1
yj,cf,mj,4
vm,zc,um,1
fs,bx,xd,8
zx,xb,d ,6
ev,qg,ch,3
lq,dm,tb,10
pu,xl,ns,10
it,az,lc,1
eg,nq,kl,10
mx,ro,fr,7
ct,h ,vn,1
ly,rj,im,7
tp,du,zh,1
vq,q ,sp,10
uy,nk,zw,8
bd,uq,qt,3
aw,g ,vu,1
ro,so,eg,7
_h,zq,yz,8
_u,rl,zv,4
mh,ty,lv,10
mj,_j,ii,3
iv,ix,yl,7
wm,ns, c,6
un,kx,zn,3
jp,lx,lp,10
ba,uj,fy,10
ur,uh,mh,8
ut,lc,cn,8
ep,fo,dj,8
cl,ju,ge,6
hr,iw, o,1
kz,rv,kh,1
gc,gz,g ,7
rw,ov,kl,3
wq,dn,fj,3
eh,zv,hw,4
wx,ws,xq,6
yd,bk,wr,4
en,dr,vm,4
wd,ys,mb,10
ff,cd,sl,6
ky,dq,dd,7
xm,sy,p ,10
at,mn,cm,1
yn,_o,qk,8
er,be,bg,7
bb,aq,oy,6
hx,wq,ch,1
wm,xb,yd,10
ey,cr,mk,1
rc,lx,kb,8
ry,gv,wx,1
kw,bq,kt,6
bi,ia,pr,8
nf,wx,ev,4
vd,hh,g ,3
eo,do,wf,4
up,nz,di,10
et,kn, j,10
fj,ba, j,3
ks,yf,et,7
jh,_z,fn,6
nd,jz,qp,4
nt,hn,jj,6
ks,ic,pd,3
zv,hj,fb,6
rp,ev,jx,10
tt,tp,sg,4
jh,ql,pv,8
ye,ah,tu,4
fg,ca,ux,6
uh,nu,ag,6
ab,mr,c ,1
zi,tw,iv,1
vz,y ,xj,4
su,si,ta,4
oa,ba,el,7
wd,ps,ey,7
pd,ss,nm,6
wj,ge,oq,3
pk,xe,hb,6
q ,ls,wu,4
me,tr,of,3
am,rl,do,1
it,je,lx,10
fo,cg,ky,3
vc,qb,ez,6
ml,qz,dr,1
yg,_q,pe,6
gd,_a,kn,8
at,uk,et,3
aw,mm,jk,3
ii,mf,zb,7
