2021-01-01 08:30:00,8,ef,na,oz
2021-01-01 09:00:00,1,mc,mi,zr
2021-01-01 09:00:00,1,iy,zb,hd
2021-01-01 09:00:00,10,_b,ca,kd
2021-01-01 09:30:00,3,ht,_u,gj
2021-01-01 11:00:00,1,uz,z ,ei
2021-01-01 11:00:00,3,zv,md,ez
2021-01-01 11:00:00,7,gh,zv,qo
2021-01-01 12:00:00,8,er,gy,zu
2021-01-01 12:30:00,10,se,bj,xm
2021-01-01 12:30:00,8,u ,dm,bo
2021-01-01 12:30:00,8,er,gy,zu
2021-01-01 14:00:00,10,tl,kg,of
2021-01-01 14:00:00,7,dk,hx,uc
2021-01-01 14:30:00,7,sb,k ,y 
2021-01-01 14:30:00,8,yt,yi,zj
2021-01-01 16:00:00,1,zi,tw,iv
2021-01-01 16:00:00,8,ve,qy,rw
2021-01-01 17:30:00,3,rg,wn,wg
2021-01-01 18:00:00,10,rw,pv,w 
2021-01-01 18:00:00,8,vo,je,nb
2021-01-02 08:00:00,1,ni,en,mo
2021-01-02 08:30:00,7,oj,zn,tf
2021-01-02 09:00:00,3,gk,db,ly
2021-01-02 09:30:00,8,uo,ql,fl
2021-01-02 10:00:00,7,gp,lm,bg
2021-01-02 11:00:00,4,aq,yf,j 
2021-01-02 14:30:00,6,nl,hg,mc
2021-01-02 15:00:00,1,nb,oy,as
2021-01-02 15:30:00,4,fh,wo,hx
2021-01-02 16:30:00,7,fn,fd,ac
2021-01-02 17:30:00,10,dw,wf,wt
2021-01-02 18:00:00,6,bi,nl,he
2021-01-02 18:00:00,7,dk,hx,uc
2021-01-03 08:00:00,7,pl,zw,au
2021-01-03 08:00:00,8,xw,fm,mk
2021-01-03 08:30:00,1,zr,hm,cu
2021-01-03 10:30:00,1,ry,gv,wx
2021-01-03 11:30:00,3,nn,vt,oo
2021-01-03 11:30:00,4,iz,hc,rm
2021-01-03 11:30:00,6,wm,ns,c
2021-01-03 12:00:00,10,rz,ax,so
2021-01-03 14:30:00,3,fv,di,h
2021-01-03 14:30:00,6,do,kd,vh
2021-01-03 15:30:00,10,ab,ln,k
2021-01-03 16:00:00,8,ve,qy,rw
2021-01-04 08:30:00,10,zo,me,ki
2021-01-04 09:00:00,1,y ,qa,oz
2021-01-04 09:00:00,10,jp,lx,lp
2021-01-04 10:00:00,3,qx,dx,zc
2021-01-04 10:30:00,8,gd,_a,kn
2021-01-04 11:00:00,8,pl,xj,j
2021-01-04 11:30:00,6,_l,uf,we
2021-01-04 12:00:00,7,bf,qw,po
2021-01-04 14:00:00,1,fd,gb,cv
2021-01-04 14:30:00,10,yv,_a,yj
2021-01-04 14:30:00,10,bn,ru,ux
2021-01-04 14:30:00,7,dl,rp,hu
2021-01-04 15:00:00,4,y ,wn,sy
2021-01-04 15:30:00,8,nc,vy,du
